budget,popularity,revenue,runtime,title,vote_average,vote_count,,,,,,,,,,
175000000,66.803149,497409852,163,Troy,6.9,2759,,,,,,,,,,
8000000,9.548391,27187653,163,A Passage to India,6.9,67,,,,,,,,,,
55000000,23.127561,100230832,163,Any Given Sunday,6.8,422,,,,,,,,,,
237000000,150.437577,2787965087,162,Avatar,7.2,11800,,,,,,,,,,
54000000,59.194915,136766062,162,The Godfather: Part III,7.1,1546,,,,,,,,,,
27000000,29.381878,231976425,162,The English Patient,7,542,,,,,,,,,,
1200000,88.377076,6000000,161,"The Good, the Bad and the Ugly",8.1,2311,,,,,,,,,,
3000000,23.109959,33300000,161,The Bridge on the River Kwai,7.7,542,,,,,,,,,,
250000000,94.370564,958400000,161,The Hobbit: The Desolation of Smaug,7.6,4524,,,,,,,,,,
100000000,132.397737,876688482,161,Harry Potter and the Chamber of Secrets,7.4,5815,,,,,,,,,,
13000000,20.39955,754249,161,Enter the Void,7.2,387,,,,,,,,,,
31000000,13.864975,128499205,161,Out of Africa,7,279,,,,,,,,,,
18000000,31.82675,51973029,160,Amadeus,7.8,1076,,,,,,,,,,
30000000,35.53352,14711793,160,The Assassination of Jesse James by the Coward Robert Ford,7,776,,,,,,,,,,
45000000,11.387408,9323833,160,Miracle at St. Anna,6.3,90,,,,,,,,,,
40000000,16.254032,100000000,159,Baahubali: The Beginning,7.5,135,,,,,,,,,,
7700000,3.353176,46000000,159,Yeh Jawaani Hai Deewani,7.2,79,,,,,,,,,,
65000000,27.870312,162091208,159,Eyes Wide Shut,7.1,1234,,,,,,,,,,
25000000,37.817905,77208711,158,There Will Be Blood,7.9,1537,,,,,,,,,,
90000000,47.651083,232617430,158,The Girl with the Dragon Tattoo,7.2,2434,,,,,,,,,,
20000000,7.902536,31678778,158,Paint Your Wagon,6.2,63,,,,,,,,,,
200000000,45.274225,769653595,158,2012,5.6,4903,,,,,,,,,,
150000000,101.250416,895921036,157,Harry Potter and the Goblet of Fire,7.5,5608,,,,,,,,,,
100000000,42.361215,266465037,157,American Gangster,7.4,1502,,,,,,,,,,
90000000,26.153669,60289912,157,The Insider,7.3,481,,,,,,,,,,
65000000,51.970905,84785914,157,Zodiac,7.3,2023,,,,,,,,,,
2200000,5.206967,11502151,157,Rang De Basanti,7.2,97,,,,,,,,,,
61000000,48.356214,441809770,157,Les Mis鑼卹ables,7.1,1884,,,,,,,,,,
107000000,18.866672,87713825,157,Ali,6.7,447,,,,,,,,,,
40000000,38.306954,132820716,157,Zero Dark Thirty,6.7,1702,,,,,,,,,,
18339750,32.445895,92180910,156,Downfall,7.7,1037,,,,,,,,,,
135000000,100.635882,532950503,156,The Revenant,7.3,6396,,,,,,,,,,
103000000,95.301296,457640427,155,Gladiator,7.9,5439,,,,,,,,,,
15000000,19.85579,43101594,155,Boogie Nights,7.5,796,,,,,,,,,,
36000000,3.698276,74000000,155,Amistad,6.8,316,,,,,,,,,,
35000000,5.525544,25105255,155,Midnight in the Garden of Good and Evil,6.3,157,,,,,,,,,,
8000000,121.463076,213928762,154,Pulp Fiction,8.3,8428,,,,,,,,,,
15000000,17.571533,146292009,154,The Color Purple,7.7,338,,,,,,,,,,
2000000,23.281616,20908467,154,Amores perros,7.6,521,,,,,,,,,,
140000000,52.341226,456758981,154,The Last Samurai,7.3,1895,,,,,,,,,,
